食品群,食品番号,索引番号,食品名　100gあたり栄養素,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,食塩相当量 g
10,10181,1374,＜魚類＞　（ししゃも類）　ししゃも　生干し　焼き,162,24.3,7.8,0.2,1.6
10,10182,1375,＜魚類＞　（ししゃも類）　からふとししゃも　生干し　生,160,15.6,11.6,0.5,1.5
10,10183,1376,＜魚類＞　（ししゃも類）　からふとししゃも　生干し　焼き,170,18.2,11.3,0.6,2
10,10184,1377,＜魚類＞　したびらめ　生,89,19.2,1.6,0,0.4
10,10185,1378,＜魚類＞　しまあじ　養殖　生,153,21.9,8.0,0.1,0.1
10,10186,1379,＜魚類＞　しらうお　生,70,13.6,2.0,0.1,0.4
10,10187,1380,＜魚類＞　シルバー　生,138,18.6,7.9,0,0.2
10,10188,1381,＜魚類＞　すずき　生,113,19.8,4.2,0,0.2
10,10189,1382,＜魚類＞　（たい類）　きだい　生,100,18.6,3.1,0.2,0.2
10,10190,1383,＜魚類＞　（たい類）　くろだい　生,137,20.4,6.7,0.3,0.1
10,10191,1384,＜魚類＞　（たい類）　ちだい　生,97,19.4,2.4,0.1,0.2
10,10192,1385,＜魚類＞　（たい類）　まだい　天然　生,129,20.6,5.8,0.1,0.1
10,10193,1386,＜魚類＞　（たい類）　まだい　養殖　皮つき　生,160,20.9,9.4,0.1,0.1
10,10194,1387,＜魚類＞　（たい類）　まだい　養殖　皮つき　水煮,182,22.2,11.9,0.1,0.1
10,10195,1388,＜魚類＞　（たい類）　まだい　養殖　皮つき　焼き,186,22.7,12.0,0.1,0.1
10,10408,1389,＜魚類＞　（たい類）　まだい　養殖　皮なし　生,131,21.2,5.9,0.2,0.1
10,10196,1390,＜魚類＞　たかさご　生,93,20.2,1.5,0.1,0.1
10,10197,1391,＜魚類＞　たかべ　生,148,18.7,9.0,0,0.3
10,10198,1392,＜魚類＞　たちうお　生,238,16.5,20.9,0,0.2
10,10199,1393,＜魚類＞　（たら類）　すけとうだら　生,72,17.4,1.0,0.1,0.3
10,10409,1394,＜魚類＞　（たら類）　すけとうだら　フライ,195,19.2,11.9,5.7,0.4
10,10200,1395,＜魚類＞　（たら類）　すけとうだら　すり身,98,17.5,0.2,6.6,0.3
10,10201,1396,＜魚類＞　（たら類）　すけとうだら　すきみだら,165,40.5,0.3,0.1,18.8
10,10202,1397,＜魚類＞　（たら類）　すけとうだら　たらこ　生,131,24.0,4.7,0.4,4.6
10,10203,1398,＜魚類＞　（たら類）　すけとうだら　たらこ　焼き,158,28.3,6.1,0.5,5.3
10,10204,1399,＜魚類＞　（たら類）　すけとうだら　からしめんたいこ,121,21.0,3.3,3.0,5.6
10,10205,1400,＜魚類＞　（たら類）　まだら　生,72,17.6,0.2,0.1,0.3
10,10206,1401,＜魚類＞　（たら類）　まだら　焼き,103,25.2,0.2,0.2,0.4
10,10207,1402,＜魚類＞　（たら類）　まだら　しらこ　生,60,13.4,0.8,0.2,0.3
10,10208,1403,＜魚類＞　（たら類）　まだら　塩だら,61,15.2,0.1,0,2
10,10209,1404,＜魚類＞　（たら類）　まだら　干しだら,299,73.2,0.8,0.1,3.8
10,10210,1405,＜魚類＞　（たら類）　加工品　でんぶ,276,25.5,1.1,41.5,4.2
10,10448,1406,＜魚類＞　（たら類）　加工品　桜でんぶ,351,10.6,0.5,80.2,2.4
10,10211,1407,＜魚類＞　ちか　生,82,19.5,0.6,0,0.6
10,10213,1408,＜魚類＞　どじょう　生,72,16.1,1.2,0,0.2
10,10214,1409,＜魚類＞　どじょう　水煮,76,17.1,1.2,0,0.3
10,10215,1410,＜魚類＞　とびうお　生,89,21.0,0.7,0.1,0.2
10,10421,1411,＜魚類＞　とびうお　煮干し,325,80.0,2.2,0.1,1.5
10,10422,1412,＜魚類＞　とびうお　焼き干し,309,73.4,3.3,0.1,1.8
10,10212,1413,＜魚類＞　ナイルティラピア　生,124,19.8,5.3,0.2,0.2
10,10216,1414,＜魚類＞　なまず　生,145,18.4,8.6,0,0.1
10,10217,1415,＜魚類＞　にぎす　生,84,18.7,1.2,0.1,0.5
10,10218,1416,＜魚類＞　にしん　生,196,17.4,15.1,0.1,0.3
10,10219,1417,＜魚類＞　にしん　身欠きにしん,224,20.9,16.7,0.2,0.4
10,10220,1418,＜魚類＞　にしん　開き干し,239,18.5,19.7,0.2,0.9
10,10221,1419,＜魚類＞　にしん　くん製,280,23.1,22.1,0,9.9
10,10222,1420,＜魚類＞　にしん　かずのこ　生,139,25.2,6.7,0.2,0.8
10,10223,1421,＜魚類＞　にしん　かずのこ　乾,358,65.2,13.6,0.5,3.6
